MapId,Win Rate,Loss Rate,Draw Rate
1827040010,497,493,10
979030895,272,279,449
1068028465,246,316,438
523177079,604,379,17
1512211614,358,520,122
33693603,335,638,27
2000479263,699,184,117
1742996364,384,529,87
1215288714,453,535,12
1242414165,31,13,956
2040473698,439,274,287
1452150194,435,443,122
1145598344,374,353,273
85474960,751,191,58
274558186,352,608,40
677398419,475,299,226
180491658,441,547,12
163756388,535,328,137
2067761785,731,233,36
1567643016,471,492,37
132902458,572,208,220
1218862396,472,513,15
484112018,76,69,855
1053567669,339,485,176
643626239,268,387,345
964434733,410,413,177
81973874,408,586,6
279650398,2,0,998
352238439,764,214,22
726435205,574,421,5
2079178990,22,108,334

